Date,0
2015-01-01,-7.06301263994974
2015-01-02,-6.987348000939555
2015-01-05,-5.824622915192855
2015-01-06,-6.484914742476441
2015-01-07,-6.006633445639075
2015-01-08,-6.402755696806963
2015-01-09,-6.6229722071014905
2015-01-12,-5.9450632170525886
2015-01-13,-6.456354023890629
2015-01-14,-5.335662995450619
2015-01-15,-4.714478899685602
2015-01-16,-4.050636077510468
2015-01-19,-4.339988648196634
2015-01-20,-4.117435398301517
2015-01-21,-4.127104390445602
2015-01-22,-3.7337028441436786
2015-01-23,-4.061542484095185
2015-01-27,-3.8753574848210555
2015-01-28,-3.860023040426526
2015-01-29,-4.424252263357687
2015-01-30,-3.807907572485952
2015-02-02,-5.539080841100528
2015-02-03,-6.007911683563073
2015-02-04,-6.779544487254434
2015-02-05,-6.503225010321156
2015-02-06,-7.090381553523795
2015-02-09,-8.434913740353604
2015-02-10,-8.300396331346448
2015-02-11,-7.929910380324877
2015-02-12,-8.577986349895443
2015-02-13,-8.658891943239908
2015-02-16,-7.836595885967615
2015-02-18,-8.159799553700008
2015-02-19,-8.650061084501509
2015-02-20,-8.757439769159081
2015-02-23,-8.89677546839706
2015-02-24,-9.213890591804407
2015-02-25,-9.799788037483118
2015-02-26,-9.321923826464044
2015-02-27,-10.158073520097155
2015-03-02,-10.34006420458389
2015-03-03,-10.785139273873185
2015-03-04,-9.871457190654269
2015-03-05,-9.08677463520155
2015-03-09,-7.92658336103808
2015-03-10,-7.63827576999261
2015-03-11,-6.34086318372524
2015-03-12,-6.809039656714429
2015-03-13,-6.5615101614242874
2015-03-16,-5.4708622860531015
2015-03-17,-6.70796964052143
2015-03-18,-6.515473811369475
2015-03-19,-5.976028078055023
2015-03-20,-6.483744657315928
2015-03-23,-7.164605950607928
2015-03-24,-6.776064602883395
2015-03-25,-7.0732143864551915
2015-03-26,-6.852357135715984
2015-03-27,-7.88668378757848
2015-03-30,-6.729626562937927
2015-03-31,-6.64536657863437
2015-04-01,-6.878613773826089
2015-04-06,-7.842545658976217
2015-04-07,-7.252866885420726
2015-04-08,-7.2940582923761355
2015-04-09,-7.025681511460647
2015-04-10,-6.811129084342959
2015-04-13,-6.223991567925459
2015-04-15,-6.547830648570926
2015-04-16,-6.99816393870282
2015-04-17,-6.995213148294081
2015-04-20,-6.765530720783335
2015-04-21,-5.597543853561387
2015-04-22,-5.455481553504999
2015-04-23,-4.253019149054278
2015-04-24,-3.292870428904724
2015-04-27,-3.157543560324058
2015-04-28,-3.2846749430003577
2015-04-29,-3.2073474621551448
2015-04-30,-3.4393586822046665
2015-05-04,-4.379121272306971
2015-05-05,-4.467979242173133
2015-05-06,-4.9944058015959385
2015-05-07,-4.236423629562363
2015-05-08,-5.334633662491104
2015-05-11,-5.397246217731212
2015-05-12,-5.964244521559252
2015-05-13,-4.6121770072580865
2015-05-14,-5.0156357837836865
2015-05-15,-5.077835459105966
2015-05-18,-5.550871913375882
2015-05-19,-5.4436885338019785
2015-05-20,-5.720461680679577
2015-05-21,-7.115635936203031
2015-05-22,-6.684211782781929
2015-05-25,-6.804003326910319
2015-05-26,-6.697876113693223
2015-05-27,-6.863479998814796
2015-05-28,-6.6674231096863394
2015-05-29,-5.8625646236906235
2015-06-01,-5.57613608024074
2015-06-02,-4.983118813160868
2015-06-03,-5.081056439737118
2015-06-04,-5.5194284859220595
2015-06-05,-5.04050796809652
2015-06-08,-5.230277226575865
2015-06-09,-5.482865896463572
2015-06-10,-5.438943826550037
2015-06-11,-5.710879833629306
2015-06-12,-5.237014602168166
2015-06-15,-4.720266561699368
2015-06-16,-5.061330642029432
2015-06-17,-5.10965337808047
2015-06-18,-5.535199403977426
2015-06-19,-5.627446291197174
2015-06-22,-5.310966547246014
2015-06-23,-5.2302599266106675
2015-06-24,-4.8503351057557325
2015-06-25,-5.152727891460099
2015-06-26,-5.215153162214278
2015-06-29,-4.4411915961299435
2015-06-30,-3.632555667179549
2015-07-01,-3.7256444256552577
2015-07-02,-3.4575030945821084
2015-07-03,-3.5804365283024566
2015-07-06,-3.385852968196094
2015-07-07,-3.011796781512267
2015-07-08,-2.884256113007652
2015-07-09,-3.5615564165479867
2015-07-10,-3.6691474955799386
2015-07-13,-3.880762731171764
2015-07-14,-3.651285175633646
2015-07-15,-3.92048465394814
2015-07-16,-4.152905230050802
2015-07-17,-4.0341624769492945
2015-07-20,-4.569190030175466
2015-07-21,-4.906482670496079
2015-07-22,-4.408433105805791
2015-07-23,-4.819261011637774
2015-07-24,-5.32349856860036
2015-07-27,-5.251809576502705
2015-07-28,-5.611784040591939
2015-07-29,-5.754475093643187
2015-07-30,-5.511125782669442
2015-07-31,-5.7165387635271365
2015-08-03,-5.752789030908648
2015-08-04,-5.944348000773928
2015-08-05,-5.2761004719923505
2015-08-06,-5.473842081584063
2015-08-07,-5.58953029856589
2015-08-10,-5.258551920092188
2015-08-11,-5.281329076377354
2015-08-12,-3.447721539149903
2015-08-13,-3.4265787802964347
2015-08-14,-3.6657273823829115
2015-08-17,-2.425374903971065
2015-08-18,-1.6163253862647302
2015-08-19,-1.1797519933641638
2015-08-20,-1.5141801203115541
2015-08-21,-2.0687439635964147
2015-08-24,-2.691658451051957
2015-08-25,-2.5595966030266517
2015-08-26,-2.3864417202612707
2015-08-27,-1.6525335467735367
2015-08-28,-1.691939638640676
2015-08-31,-1.5899083220640158
2015-09-01,-1.3286841555182711
2015-09-02,-0.7302004338627306
2015-09-03,-0.6231509598477594
2015-09-04,-0.6721988145053857
2015-09-07,-0.5859309084078514
