Date,ABB.NS,ADANIENT.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANKBARODA.NS,BERGEPAINT.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,CANBK.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,DABUR.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIPRULI.NS,IDFCFIRSTB.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JINDALSTEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,MUTHOOTFIN.NS,NESTLEIND.NS,NTPC.NS,OIL.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,TATACHEM.NS,TATACONSUM.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TORNTPHARM.NS,TVSMOTOR.NS,UBL.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,YESBANK.NS
2015-01-01,1131.1435546875,70.76136779785156,301.7728576660156,195.77301025390625,1084.179443359375,21.54460906982422,684.9315185546875,532.2208251953125,486.962890625,1845.3592529296875,127.90370178222656,1179.0235595703125,33.758140563964844,186.382080078125,113.54823303222656,431.9375305175781,308.07354736328125,163.5709686279297,17477.486328125,57.983272552490234,795.6228637695312,73.58758544921875,90.47856903076172,586.8890380859375,154.55552673339844,729.6350708007812,208.67889404296875,799.1676025390625,597.1714477539062,1410.3421630859375,57.334129333496094,295.96966552734375,492.453125,253.23646545410156,298.5212097167969,217.2353515625,2240.054931640625,146.67152404785156,633.171875,294.0238342285156,283.6493835449219,67.5837631225586,764.6310424804688,367.7707824707031,28.84153938293457,164.60269165039062,154.36837768554688,124.9589614868164,848.3334350585938,1344.9906005859375,559.4361572265625,3032.03515625,173.6448211669922,278.219482421875,80.23503112792969,108.49961853027344,132.96823120117188,259.4795837402344,48.28197479248047,189.99981689453125,279.88055419921875,8981.6943359375,468.1697082519531,165.4903106689453,757.8303833007812,132.10606384277344,132.6536407470703,70.00165557861328,28.898021697998047,1006.856689453125,462.62921142578125,362.7237548828125,494.1908874511719,259.6556396484375,808.5543212890625,2548.02880859375,70.61102294921875,93.5082015991211,147.01246643066406
2015-01-02,1119.4107666015625,71.10795593261719,301.5840148925781,198.52369689941406,1086.0567626953125,22.12465476989746,708.6114501953125,534.7706298828125,497.85308837890625,1845.0584716796875,126.81511688232422,1203.5323486328125,33.21843338012695,188.65367126464844,126.7560806274414,434.3552551269531,309.89874267578125,167.68234252929688,17554.52734375,57.11466598510742,816.0618896484375,73.48931121826172,93.79742431640625,588.5235595703125,155.24688720703125,745.0087890625,210.74412536621094,802.57861328125,599.1990356445312,1393.6717529296875,57.59321212768555,297.25665283203125,505.942138671875,252.13661193847656,298.2333068847656,220.25869750976562,2234.788818359375,148.1988525390625,631.0846557617188,302.36968994140625,283.6493835449219,67.5837631225586,768.3035278320312,374.998046875,28.682958602905273,165.1182861328125,159.69309997558594,126.24468994140625,866.2262573242188,1347.908203125,553.8284912109375,3049.143310546875,164.7762908935547,278.816162109375,81.3333740234375,108.9512710571289,134.95860290527344,264.5109558105469,48.863033294677734,189.49693298339844,280.9947204589844,8932.2275390625,472.11968994140625,174.05372619628906,761.5631713867188,133.2157745361328,134.23806762695312,71.02417755126953,29.34815788269043,1020.2653198242188,464.89373779296875,365.5888671875,514.4674682617188,250.20680236816406,809.5231323242188,2624.206298828125,71.59327697753906,94.33765411376953,150.75180053710938
2015-01-05,1119.671142578125,72.284912109375,305.7864990234375,198.26580810546875,1089.66796875,23.94765853881836,708.565673828125,534.5109252929688,500.9991455078125,1851.793701171875,125.13008117675781,1221.1285400390625,33.13162612915039,188.60203552246094,122.58223724365234,435.7828063964844,303.0224609375,166.52505493164062,17730.794921875,57.22545623779297,816.6266479492188,73.77596282958984,95.27031707763672,591.1852416992188,154.63687133789062,738.6452026367188,207.8258514404297,797.7483520507812,585.6205444335938,1400.0111083984375,57.774559020996094,297.36395263671875,507.8454284667969,254.6112823486328,293.2170104980469,218.39906311035156,2250.153564453125,145.1904754638672,634.716552734375,302.99560546875,283.6493835449219,67.5837631225586,771.3167724609375,371.7755432128906,28.991558074951172,165.7683563232422,160.58055114746094,125.73833465576172,878.2772827148438,1346.02587890625,551.0244750976562,3129.1923828125,160.72671508789062,278.9657897949219,81.1080551147461,106.10962677001953,136.48519897460938,260.68426513671875,48.91586685180664,187.4212646484375,278.7663269042969,8909.861328125,474.3399963378906,171.35350036621094,762.0242919921875,132.486083984375,134.63418579101562,70.59812927246094,29.773286819458008,1004.7606811523438,457.13739013671875,368.5494689941406,512.1810913085938,253.434326171875,806.907470703125,2629.5654296875,70.78812408447266,94.50692749023438,151.07528686523438
2015-01-06,1109.5029296875,71.73614501953125,303.9449462890625,190.95924377441406,1057.2166748046875,23.429758071899414,691.6515502929688,513.6632080078125,483.0907897949219,1837.344482421875,122.23717498779297,1198.9654541015625,33.04576873779297,182.329345703125,118.59046936035156,411.0993347167969,300.6454772949219,158.94190979003906,17239.0546875,56.64936065673828,817.5171508789062,71.73663330078125,92.24798583984375,573.7672729492188,154.5148468017578,743.49365234375,201.45053100585938,766.5223999023438,570.2098999023438,1363.542724609375,55.94807434082031,291.71051025390625,488.480224609375,240.72581481933594,285.3861389160156,214.99923706054688,2174.412353515625,141.99691772460938,646.73779296875,290.14300537109375,283.6493835449219,67.5837631225586,751.8245239257812,364.0081787109375,28.67009925842285,161.5092315673828,150.522705078125,124.2391586303711,848.9826049804688,1313.605712890625,547.9494018554688,3081.498291015625,158.7019500732422,275.0862731933594,78.40444946289062,100.71804809570312,128.75563049316406,248.7791290283203,47.82414245605469,178.9152374267578,267.3126525878906,8693.2099609375,462.48992919921875,163.79087829589844,745.2490844726562,128.48793029785156,130.4089813232422,67.87134552001953,28.32999610900879,967.7181396484375,452.23388671875,355.9430236816406,488.6255798339844,250.7681121826172,806.4713745117188,2555.78076171875,67.32601928710938,92.29788970947266,146.8412322998047
2015-01-07,1093.510986328125,71.1007308959961,303.23663330078125,189.1970977783203,1065.498046875,24.714153289794922,705.5485229492188,521.8087768554688,482.7035827636719,1841.6339111328125,122.13280487060547,1197.080322265625,33.71858215332031,183.5684051513672,122.06402587890625,414.6453552246094,301.36700439453125,154.6173858642578,17210.306640625,57.16343307495117,866.9747924804688,71.6137924194336,91.87498474121094,571.5257568359375,152.3798370361328,757.311767578125,204.50350952148438,755.3050537109375,565.3087768554688,1382.3935546875,54.52312088012695,294.20770263671875,494.6241760253906,244.02537536621094,278.60498046875,215.62672424316406,2145.305908203125,137.8314208984375,669.445068359375,282.2979736328125,283.6493835449219,67.5837631225586,745.7507934570312,365.7497863769531,28.721534729003906,158.50546264648438,148.2547607421875,126.23973846435547,846.9503784179688,1296.430908203125,553.6024169921875,3120.0712890625,158.41848754882812,276.23779296875,80.29132843017578,100.26641845703125,130.6493377685547,245.63754272460938,48.5108757019043,182.80984497070312,267.5354919433594,8681.3818359375,464.2971496582031,161.96864318847656,746.4011840820312,131.52835083007812,130.6730499267578,66.67835998535156,27.786977767944336,956.2872924804688,450.120849609375,357.757568359375,486.015625,260.3572082519531,869.1038208007812,2545.68359375,67.3099365234375,91.59537506103516,144.1199951171875
2015-01-08,1119.4107666015625,73.90231323242188,315.9383850097656,194.61251831054688,1084.6126708984375,25.37706184387207,750.0283203125,532.0320434570312,485.8981018066406,1844.0423583984375,128.2218017578125,1228.75341796875,33.66118240356445,185.44418334960938,134.40347290039062,428.6448669433594,306.5879821777344,156.87098693847656,17625.546875,60.05726623535156,855.4411010742188,74.02985382080078,93.2905044555664,577.3629760742188,154.31153869628906,777.736083984375,206.52391052246094,756.8616333007812,570.3495483398438,1374.42822265625,55.799076080322266,303.40032958984375,495.7023620605469,250.9451141357422,285.0517578125,220.15599060058594,2152.484130859375,141.21011352539062,682.0926513671875,289.97613525390625,283.6493835449219,67.5837631225586,752.1068725585938,367.5938415527344,29.445892333984375,162.47314453125,155.6995391845703,133.10523986816406,852.3408813476562,1324.9927978515625,559.684814453125,3154.332763671875,159.1879119873047,277.44879150390625,81.64315032958984,103.55970764160156,132.09872436523438,245.5666961669922,48.722164154052734,180.18850708007812,271.72479248046875,8775.00390625,475.2436828613281,163.30931091308594,754.696533203125,133.8998565673828,135.2943878173828,68.16959381103516,28.21924591064453,966.610595703125,457.6543273925781,356.13397216796875,495.0537414550781,277.1032409667969,865.470947265625,2610.185791015625,67.79299926757812,92.25554656982422,146.36549377441406
2015-01-09,1099.4644775390625,73.16581726074219,312.7275390625,192.37757873535156,1082.9755859375,24.320545196533203,742.8511962890625,552.2659301757812,479.12188720703125,1787.9400634765625,127.16802215576172,1197.164306640625,33.27920150756836,182.4928436279297,137.03662109375,427.8389587402344,302.04620361328125,155.16555786132812,17474.07421875,60.21236801147461,845.0587768554688,72.1952896118164,92.8792495727539,590.5781860351562,152.5221405029297,775.8370361328125,206.02996826171875,779.38818359375,588.4850463867188,1361.9534912109375,56.38850021362305,313.63470458984375,492.7498474121094,250.30357360839844,287.14190673828125,222.62030029296875,2158.434814453125,143.47796630859375,721.7882690429688,285.3024597167969,283.6493835449219,67.5837631225586,755.2144165039062,386.40704345703125,29.291595458984375,160.0073699951172,150.71994018554688,135.12069702148438,846.8093872070312,1336.9913330078125,559.9561157226562,3147.70751953125,158.98544311523438,281.2314758300781,78.9958724975586,106.36369323730469,135.6542510986328,246.72409057617188,48.75739288330078,184.09375,270.2540588378906,8800.43359375,472.1714172363281,161.57211303710938,765.06591796875,134.40155029296875,136.96685791015625,67.99917602539062,28.555063247680664,993.7050170898438,477.9280090332031,356.13397216796875,510.95159912109375,277.38385009765625,875.7401123046875,2612.00439453125,66.9234619140625,93.69439697265625,145.35694885253906
2015-01-12,1101.159423828125,74.30664825439453,310.1778259277344,195.98788452148438,1077.005126953125,24.98345947265625,738.5081176757812,556.067138671875,485.5108642578125,1756.4456787109375,126.02477264404297,1217.064697265625,33.16489791870117,185.85720825195312,129.16517639160156,461.11102294921875,296.2310485839844,156.931884765625,18261.025390625,59.9509162902832,839.2811279296875,72.88325500488281,94.90687561035156,589.0840454101562,145.52743530273438,778.52392578125,210.78903198242188,781.2425537109375,596.5670166015625,1372.945068359375,55.734317779541016,324.4513244628906,497.2364501953125,248.24142456054688,292.71539306640625,220.65798950195312,2118.6884765625,139.86790466308594,748.5028076171875,289.2249755859375,283.6493835449219,67.5837631225586,781.0630493164062,394.13720703125,29.10300064086914,160.4332733154297,147.3179931640625,136.11849975585938,865.9723510742188,1346.6846923828125,557.6045532226562,3142.896728515625,158.8639373779297,284.59588623046875,78.85504913330078,103.6632080078125,134.37892150878906,248.35398864746094,48.07066345214844,181.95387268066406,273.7303161621094,8813.6025390625,478.2384338378906,160.1086883544922,769.9047241210938,133.71742248535156,138.50729370117188,68.42522430419922,28.347854614257812,992.6763305664062,491.0604553222656,359.8586730957031,491.04156494140625,280.1904602050781,884.4592895507812,2584.203125,66.42427062988281,94.12606811523438,148.0210723876953
2015-01-13,1104.896484375,71.72891998291016,305.0309753417969,197.7930450439453,1107.482421875,24.776296615600586,762.3709106445312,543.1995239257812,488.3664855957031,1748.9954833984375,127.88876342773438,1226.658447265625,33.59703826904297,186.13255310058594,131.4341583251953,453.6507568359375,293.9814758300781,156.8405303955078,18330.470703125,59.34377670288086,839.8893432617188,72.84230041503906,95.480712890625,594.3606567382812,146.88978576660156,783.7156982421875,211.6869354248047,789.30078125,599.5616455078125,1367.53955078125,55.462284088134766,331.284423828125,513.2728881835938,247.78311157226562,294.21099853515625,219.81375122070312,2086.9853515625,140.42332458496094,738.4431762695312,284.50958251953125,283.6493835449219,67.5837631225586,777.343505859375,389.0986022949219,29.158723831176758,161.44198608398438,146.67706298828125,138.2977752685547,857.6749877929688,1348.614013671875,564.7499389648438,3147.752685546875,158.782958984375,295.6886291503906,78.2636489868164,100.71804809570312,131.38365173339844,254.42459106445312,47.841766357421875,180.42384338378906,271.9476013183594,8842.1962890625,474.72723388671875,169.5218505859375,767.876953125,136.16497802734375,136.65878295898438,67.4026870727539,27.972742080688477,988.00927734375,492.3264465332031,355.4654541015625,495.24786376953125,289.03118896484375,897.1989135742188,2697.3212890625,65.89286041259766,95.38716125488281,148.76321411132812
2015-01-14,1097.24853515625,70.95632934570312,312.8219909667969,200.1569366455078,1117.5452880859375,24.42412567138672,770.4166259765625,540.4373168945312,483.62322998046875,1778.608154296875,124.6827163696289,1253.597412109375,36.403541564941406,185.00535583496094,127.90457916259766,452.7757263183594,293.5570068359375,163.69281005859375,18853.69921875,57.76170349121094,845.3846435546875,71.84310913085938,99.88032531738281,589.6909790039062,147.70314025878906,783.3116455078125,225.42526245117188,780.78466796875,596.7529907226562,1370.71826171875,55.248538970947266,332.6020202636719,516.232666015625,241.64236450195312,293.31927490234375,219.93922424316406,2094.0908203125,131.58319091796875,771.4187622070312,281.1712951660156,283.6493835449219,67.5837631225586,769.0097045898438,396.5028991699219,28.77724838256836,155.92759704589844,144.8035430908203,138.12400817871094,856.8283081054688,1339.4852294921875,559.3908081054688,3191.09033203125,155.8672637939453,298.6477966308594,77.5877456665039,99.70183563232422,132.96823120117188,268.00689697265625,47.912193298339844,178.66915893554688,271.59112548828125,8871.40625,486.4608154296875,173.1190185546875,756.40185546875,134.70559692382812,136.30667114257812,67.18964385986328,26.926002502441406,997.521728515625,497.7559814453125,354.89239501953125,485.6056213378906,288.04888916015625,902.09130859375,2783.786865234375,60.578922271728516,93.43202209472656,149.70516967773438
