Date,kf_alpha,kf_beta,kf_spread,kf_zscore
2015-01-01,0.0013432421067416885,0.19701536696105035,28.898021697998047,
2015-01-02,0.0010050470535603873,0.19708828647308635,0.14936332439370048,
2015-01-05,0.0037570597981092754,0.19794072443081953,1.1569397510181751,
2015-01-06,0.0052932765768354375,0.1981456154297415,0.21926628785802293,
2015-01-07,0.011286911626999126,0.19865011428534615,0.4709927718908702,
2015-01-08,0.012136615947424038,0.19885420914402024,0.1565538089519798,
2015-01-09,0.012145527955460781,0.19887142554479875,0.011729111845451001,
2015-01-12,0.0157261249490257,0.19964506927465003,0.5199794979904411,
2015-01-13,0.015368268776286494,0.19952175707697303,-0.07780840880174011,
2015-01-14,0.029133745478136838,0.20048738641802233,0.6569247799171976,
2015-01-15,0.048944747116810045,0.20225835346022572,1.1269414672989342,
2015-01-16,0.07855848210045938,0.20448576068853386,1.4052519582442642,
2015-01-19,0.09004631024197013,0.20597042517151215,0.8646555759915131,
2015-01-20,0.09074726546577215,0.2079464752313323,1.0444923512382687,
2015-01-21,0.09360501819505011,0.20929999521047524,0.7177425383704481,
2015-01-22,0.09594736957786025,0.2111172188833944,0.9371736527625387,
2015-01-23,0.09535274074545742,0.21194016011981803,0.40825834765368896,
2015-01-27,0.09739958102799945,0.21276359497117472,0.41396284178953024,
2015-01-28,0.09996900995511303,0.21325513945981023,0.24811566382697592,
2015-01-29,0.09954926023478322,0.21258471931138953,-0.31595944647543206,
2015-01-30,0.10240088077696764,0.2132262765000314,0.30770946042808944,
2015-02-02,0.11661640266271686,0.21009604008540653,-1.345114541588135,
2015-02-03,0.13237652244388523,0.20687131270927284,-1.3683200961822592,
2015-02-04,0.17365700065943937,0.20306207359457165,-1.5075604113012133,
2015-02-05,0.178023587039008,0.20094812115421723,-0.9047440833475413,
2015-02-06,0.17901158800872657,0.19803806815532324,-1.2372696655436677,
2015-02-09,0.1741631209079314,0.19277562084587022,-2.218730866625485,
2015-02-10,0.18448074536377337,0.1896978085643552,-1.2369333475749826,
2015-02-11,0.1879176782122494,0.18864072205324292,-0.418306165562214,
