Stock A,Stock B,p-value
CHOLAFIN.NS,LT.NS,0.055648034495777404
ASHOKLEY.NS,TATAPOWER.NS,0.055672367227741416
BPCL.NS,SIEMENS.NS,0.05632277504622163
ADANIPORTS.NS,VEDL.NS,0.056334115558202245
BRITANNIA.NS,NESTLEIND.NS,0.05656456001234021
PIDILITIND.NS,TATACONSUM.NS,0.05712610381696854
CHOLAFIN.NS,TATASTEEL.NS,0.057661095591587164
HAVELLS.NS,TITAN.NS,0.05814218755601779
ASHOKLEY.NS,TVSMOTOR.NS,0.05925183994584908
CANBK.NS,NTPC.NS,0.059756118855323934
IOC.NS,OIL.NS,0.06081235704848564
AMBUJACEM.NS,VEDL.NS,0.060933770005295984
HDFCBANK.NS,ICICIPRULI.NS,0.06142766731331579
ADANIPORTS.NS,TATAPOWER.NS,0.06145412837214551
BANKBARODA.NS,ONGC.NS,0.06282209026981332
CANBK.NS,EICHERMOT.NS,0.06329089968158162
INFY.NS,TCS.NS,0.06503941608992833
AMBUJACEM.NS,BHARATFORG.NS,0.06562490566686117
NTPC.NS,SIEMENS.NS,0.06639039513739926
BAJAJFINSV.NS,TATACHEM.NS,0.06648314771219789
GRASIM.NS,VEDL.NS,0.06847044259457706
AXISBANK.NS,GRASIM.NS,0.06870936300306425
BRITANNIA.NS,GODREJCP.NS,0.06924077842840096
BAJFINANCE.NS,RELIANCE.NS,0.0699944734401551
CHOLAFIN.NS,ICICIBANK.NS,0.07066672982240035
ADANIPORTS.NS,ICICIBANK.NS,0.07134190007896203
UBL.NS,ULTRACEMCO.NS,0.07209050700121378
BPCL.NS,M&M.NS,0.0722047774503439
BHARATFORG.NS,JINDALSTEL.NS,0.07228213505517866
BAJAJ-AUTO.NS,TVSMOTOR.NS,0.0723286421074287
AXISBANK.NS,TATAPOWER.NS,0.07236360812803849
ABB.NS,LT.NS,0.07298228881948243
CHOLAFIN.NS,ULTRACEMCO.NS,0.07534072897463902
BANKBARODA.NS,CANBK.NS,0.07568620370979018
BAJAJ-AUTO.NS,LT.NS,0.07579371747117268
ASHOKLEY.NS,LT.NS,0.07613149468057724
BAJAJFINSV.NS,ICICIPRULI.NS,0.07614394885674426
SBIN.NS,ULTRACEMCO.NS,0.07636447248291858
BAJAJFINSV.NS,BAJFINANCE.NS,0.07686320130327226
ASIANPAINT.NS,KOTAKBANK.NS,0.07694753340963047
HINDALCO.NS,TATACONSUM.NS,0.0780346509451906
BAJAJFINSV.NS,TATACONSUM.NS,0.07867375812557892
BHARATFORG.NS,MARUTI.NS,0.07883349823564795
BPCL.NS,NTPC.NS,0.07934428689451539
TATACHEM.NS,TATACONSUM.NS,0.07956546955673344
HAVELLS.NS,SBIN.NS,0.07963864092178291
GODREJCP.NS,TATACONSUM.NS,0.07975645810787035
LT.NS,TVSMOTOR.NS,0.08083446011918871
ADANIPORTS.NS,BPCL.NS,0.08100665413359365
NESTLEIND.NS,PIDILITIND.NS,0.08105261035394573
BHARATFORG.NS,GAIL.NS,0.08165156796273826
ADANIPORTS.NS,AXISBANK.NS,0.08196336430866996
AMBUJACEM.NS,AXISBANK.NS,0.08223818124477678
EICHERMOT.NS,TATAPOWER.NS,0.082388096293251
BANKBARODA.NS,BHEL.NS,0.08325278375464507
IOC.NS,NTPC.NS,0.0844950201039627
AMBUJACEM.NS,SIEMENS.NS,0.08512322822241808
ASHOKLEY.NS,ULTRACEMCO.NS,0.08544597157590833
ADANIPORTS.NS,LT.NS,0.08586149790612324
BPCL.NS,ULTRACEMCO.NS,0.08641507949454208
GAIL.NS,OIL.NS,0.08666735558567873
ASHOKLEY.NS,NTPC.NS,0.08836241228334996
EICHERMOT.NS,HEROMOTOCO.NS,0.08850107555817849
CANBK.NS,TVSMOTOR.NS,0.08928761429393756
BAJAJFINSV.NS,HAVELLS.NS,0.08933646405827889
ASIANPAINT.NS,RELIANCE.NS,0.08954248702942302
ASIANPAINT.NS,SHREECEM.NS,0.08958018437465076
BAJFINANCE.NS,PIDILITIND.NS,0.0902581897751949
CHOLAFIN.NS,TATAPOWER.NS,0.09337001615832496
SHREECEM.NS,TITAN.NS,0.0934749754028345
EICHERMOT.NS,LT.NS,0.09398265995381277
TATACHEM.NS,TATASTEEL.NS,0.09482276384713834
BHEL.NS,NTPC.NS,0.0955177283403022
CANBK.NS,HEROMOTOCO.NS,0.09580677815918148
ASHOKLEY.NS,CHOLAFIN.NS,0.09634350919591128
BAJFINANCE.NS,ICICIPRULI.NS,0.09686102415082215
TATAPOWER.NS,ULTRACEMCO.NS,0.09713996931879526
ASHOKLEY.NS,BAJAJ-AUTO.NS,0.10070000908917714
AMBUJACEM.NS,HAVELLS.NS,0.1012485517931756
LT.NS,SBIN.NS,0.10169327082162882
AXISBANK.NS,SIEMENS.NS,0.10245183979668238
HINDALCO.NS,TATACHEM.NS,0.1032017885049143
GRASIM.NS,TATAPOWER.NS,0.10351622866910348
HAVELLS.NS,TATACONSUM.NS,0.10435736458555506
HINDALCO.NS,ICICIBANK.NS,0.10742323760063949
ONGC.NS,SIEMENS.NS,0.10772543621913122
BANKBARODA.NS,IOC.NS,0.10774839714669204
HDFCBANK.NS,PIDILITIND.NS,0.10780204596961107
ADANIPORTS.NS,SIEMENS.NS,0.10853259705465884
ASHOKLEY.NS,HINDALCO.NS,0.10916729538826292
BPCL.NS,ONGC.NS,0.10917109423984384
HINDALCO.NS,TITAN.NS,0.10985242175119792
ADANIENT.NS,TATASTEEL.NS,0.10998859664616129
AXISBANK.NS,TVSMOTOR.NS,0.11039157909256109
BAJAJFINSV.NS,SHREECEM.NS,0.11099754986909166
ASIANPAINT.NS,BAJAJFINSV.NS,0.1112570136681219
JINDALSTEL.NS,TVSMOTOR.NS,0.11215519503101246
COALINDIA.NS,OIL.NS,0.11217758537595085
AXISBANK.NS,NTPC.NS,0.11273950180092512
BHEL.NS,CANBK.NS,0.11339728475584515
KOTAKBANK.NS,RELIANCE.NS,0.11362659932074115
BAJAJFINSV.NS,HDFCBANK.NS,0.11442736297828782
AXISBANK.NS,BAJAJ-AUTO.NS,0.11539705398775874
CHOLAFIN.NS,TITAN.NS,0.11541558770283783
GRASIM.NS,HAVELLS.NS,0.11544615898098032
SHREECEM.NS,SRF.NS,0.11555529359009509
HAVELLS.NS,JINDALSTEL.NS,0.11660661080456003
AXISBANK.NS,ICICIBANK.NS,0.11811197983132576
BAJFINANCE.NS,SRF.NS,0.11885830455510571
ADANIENT.NS,HINDALCO.NS,0.12011020926985078
CANBK.NS,GAIL.NS,0.12109377261349191
ASHOKLEY.NS,MARUTI.NS,0.12110977119436211
POWERGRID.NS,SBIN.NS,0.1217411478379844
BHEL.NS,IOC.NS,0.12194650586524519
ICICIBANK.NS,JINDALSTEL.NS,0.12195758998120226
BAJFINANCE.NS,KOTAKBANK.NS,0.12206285448577253
BHEL.NS,GAIL.NS,0.12371698213294774
